Project,Dataset,TableName,RunDate,ETLDate,FullLoad
Project,ADAPTED_NOW,039e8b01-6dbe-4eca-9a10-a9b7d8a6f3a5,2023-06-04 22:00:02.980000 UTC,2023-06-04 19:00:01.232000 UTC,false
Project,ADAPTED_NOW,02e1a611-53c6-4917-88f2-0c907327f675,2023-03-06 18:58:36.207000 UTC,2023-06-04 19:00:01.232000 UTC,false
Project,ADAPTED_NOW,029ea82d-0517-4e4d-8188-83ec50624db9,2023-02-28 17:58:34.122000 UTC,2023-06-04 21:53:07.029000 UTC,false
Project,ADAPTED_NOW,02be2d8c-73de-4674-bdd1-990267f8e3b8,2023-06-04 20:45:10.974000 UTC,2023-06-04 19:00:01.232000 UTC,false
Project,ADAPTED_NOW,037ade8a-0079-45d8-8dfe-3a5c8581dcd6,2023-06-04 18:45:02.135000 UTC,2023-06-04 19:00:01.232000 UTC,false
Project,ADAPTED_NOW,0336395d-640b-42eb-b5ec-cd9c0b8ce114,2023-05-05 17:33:26.467000 UTC,2023-06-04 17:16:22.143000 UTC,false
Project,ADAPTED_NOW,028677cf-5ac6-48c4-a7e8-77b4d43b07cc,2023-06-04 18:00:25.121000 UTC,2023-06-04 19:00:01.232000 UTC,false
Project,ADAPTED_NOW,03394ea6-2791-4b19-89f2-997378bda47d,2023-06-01 07:59:10.708000 UTC,2023-06-04 19:00:01.232000 UTC,false
Project,ADAPTED_NOW,03332d57-ac30-4f17-a70d-526072f32d03,2023-05-05 17:07:05.379000 UTC,2023-06-04 10:29:36.437000 UTC,false
Project,ADAPTED_NOW,03eb0496-cccf-4981-ac04-3593561907c9,2023-03-11 02:19:48.384000 UTC,2023-06-04 23:31:33.521000 UTC,false